2018-09-28 16:40:53 session verif row db  
2018-09-28 16:40:54 session verif row db  
2018-09-28 16:40:56 session verif row db  
2018-09-28 16:40:59 session verif row db  
2018-09-28 16:41:02 session verif row db  
2018-09-28 16:41:05 session verif row db  
2018-09-28 16:41:06 session verif row db  
2018-09-28 16:41:17 session verif row db  
2018-09-28 16:41:19 session verif row db  
2018-09-28 16:41:21 session verif row db  
2018-09-28 16:41:44 session verif row db  
2018-09-28 16:41:57 session verif row db  
2018-09-28 16:42:15 session verif row db  
2018-09-28 16:42:35 !session id 49a0e36bca7dc36c15208776c8d8d020 
2018-09-28 16:42:36 session verif row db  
2018-09-28 16:42:37 session verif row db  
2018-09-28 16:42:39 session verif row db  
2018-09-28 16:42:41 session verif row db  
2018-09-28 16:42:41 session verif row db  
2018-09-28 16:42:41 session verif row db  
2018-09-28 16:42:41 session verif row db  
2018-09-28 16:42:42 session verif row db  
2018-09-28 16:42:43 session verif row db  
2018-09-28 16:42:45 session verif row db  
2018-09-28 16:42:46 session verif row db  
2018-09-28 16:42:48 session verif row db  
2018-09-28 16:42:50 session verif row db  
2018-09-28 16:42:51 session verif row db  
2018-09-28 16:42:52 session verif row db  
2018-09-28 16:42:55 session verif row db  
2018-09-28 16:42:59 session verif row db  
2018-09-28 16:43:30 session verif row db  
2018-09-28 16:43:31 session verif row db  
2018-09-28 16:43:32 session verif row db  
2018-09-28 16:43:33 session verif row db  
2018-09-28 16:43:34 session verif row db  
2018-09-28 16:43:35 session verif row db  
2018-09-28 16:43:37 session verif row db  
2018-09-28 16:43:40 session verif row db  
2018-09-28 16:43:42 session verif row db  
2018-09-28 16:44:16 session verif row db  
2018-09-28 16:45:01 session verif row db  
2018-09-28 16:45:06 session verif row db  
2018-09-28 16:45:06 session verif row db  
2018-09-28 16:45:06 session verif row db  
2018-09-28 16:45:06 session verif row db  
2018-09-28 16:49:51 session verif row db  
2018-09-28 16:49:51 session verif row db  
2018-09-28 16:49:51 session verif row db  
2018-09-28 16:49:51 session verif row db  
2018-09-28 16:49:51 session verif row db  
2018-09-28 16:49:51 session verif row db  
2018-09-28 16:49:51 session verif row db  
